MARKER	PATH	SIZE_B	DATE	DECISION	REASON
ATO_ACCUSATION_OF_CONTROL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACCUSATION_OF_CONTROL.yaml	1017	2025-11-22	KEEP_BEST	best of 11 copies
ATO_ACCUSATION_OF_CONTROL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACCUSATION_OF_CONTROL.yaml	1017	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACCUSATION_OF_CONTROL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (2).json/Markers_canonical.json/ATO_ACCUSATION_OF_CONTROL.yaml	1017	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACCUSATION_OF_CONTROL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (3).json/Markers_canonical.json/ATO_ACCUSATION_OF_CONTROL.yaml	1017	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACCUSATION_OF_CONTROL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACCUSATION_OF_CONTROL.yaml	1017	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACCUSATION_OF_CONTROL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACCUSATION_OF_CONTROL.yaml	1017	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACCUSATION_OF_CONTROL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/ATO_atomic/ATO_ACCUSATION_OF_CONTROL.yaml	1017	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACCUSATION_OF_CONTROL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACCUSATION_OF_CONTROL.yaml	1017	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACCUSATION_OF_CONTROL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACCUSATION_OF_CONTROL.yaml	1017	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACCUSATION_OF_CONTROL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/ATO_atomic/ATO_ACCUSATION_OF_CONTROL.yaml	1017	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACCUSATION_OF_CONTROL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_ARCHE/ATO_atomic/ATO_ACCUSATION_OF_CONTROL.yaml	794	2025-11-22	DISCARD_REDUNDANT	78% of best, not newer
ATO_ACHIEVEMENT_DRIVE.yaml	LD3.4_ALL_Marker_5.1/spiral_persona/ATO/ATO_ACHIEVEMENT_DRIVE.yaml	612	2025-11-22	KEEP_BEST	best of 9 copies
ATO_ACHIEVEMENT_DRIVE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACHIEVEMENT_DRIVE.yaml	612	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_DRIVE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACHIEVEMENT_DRIVE.yaml	612	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_DRIVE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (2).json/Markers_canonical.json/ATO_ACHIEVEMENT_DRIVE.yaml	612	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_DRIVE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (3).json/Markers_canonical.json/ATO_ACHIEVEMENT_DRIVE.yaml	612	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_DRIVE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACHIEVEMENT_DRIVE.yaml	612	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_DRIVE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACHIEVEMENT_DRIVE.yaml	612	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_DRIVE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACHIEVEMENT_DRIVE.yaml	612	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_DRIVE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACHIEVEMENT_DRIVE.yaml	612	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_GOAL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACHIEVEMENT_GOAL.yaml	716	2025-11-22	KEEP_BEST	best of 10 copies
ATO_ACHIEVEMENT_GOAL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACHIEVEMENT_GOAL.yaml	716	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_GOAL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (2).json/Markers_canonical.json/ATO_ACHIEVEMENT_GOAL.yaml	716	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_GOAL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (3).json/Markers_canonical.json/ATO_ACHIEVEMENT_GOAL.yaml	716	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_GOAL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACHIEVEMENT_GOAL.yaml	716	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_GOAL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACHIEVEMENT_GOAL.yaml	716	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_GOAL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/ATO_atomic/ATO_ACHIEVEMENT_GOAL.yaml	716	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_GOAL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACHIEVEMENT_GOAL.yaml	716	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_GOAL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACHIEVEMENT_GOAL.yaml	716	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACHIEVEMENT_GOAL.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/ATO_atomic/ATO_ACHIEVEMENT_GOAL.yaml	716	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACK.yaml	392	2025-11-22	KEEP_BEST	best of 10 copies
ATO_ACK.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACK.yaml	392	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (2).json/Markers_canonical.json/ATO_ACK.yaml	392	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (3).json/Markers_canonical.json/ATO_ACK.yaml	392	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACK.yaml	392	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACK.yaml	392	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/ATO_atomic/ATO_ACK.yaml	392	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACK.yaml	392	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACK.yaml	392	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/ATO_atomic/ATO_ACK.yaml	392	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACKNOWLEDGE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACKNOWLEDGE.yaml	447	2025-11-22	KEEP_BEST	best of 10 copies
ATO_ACKNOWLEDGE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACKNOWLEDGE.yaml	447	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACKNOWLEDGE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (2).json/Markers_canonical.json/ATO_ACKNOWLEDGE.yaml	447	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACKNOWLEDGE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (3).json/Markers_canonical.json/ATO_ACKNOWLEDGE.yaml	447	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACKNOWLEDGE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACKNOWLEDGE.yaml	447	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACKNOWLEDGE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACKNOWLEDGE.yaml	447	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACKNOWLEDGE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/ATO_atomic/ATO_ACKNOWLEDGE.yaml	447	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACKNOWLEDGE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACKNOWLEDGE.yaml	447	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACKNOWLEDGE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACKNOWLEDGE.yaml	447	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACKNOWLEDGE.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/ATO_atomic/ATO_ACKNOWLEDGE.yaml	447	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK_MICRO.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACK_MICRO.yaml	2044	2025-11-22	KEEP_BEST	best of 8 copies
ATO_ACK_MICRO.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACK_MICRO.yaml	2044	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK_MICRO.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (2).json/Markers_canonical.json/ATO_ACK_MICRO.yaml	2044	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK_MICRO.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (3).json/Markers_canonical.json/ATO_ACK_MICRO.yaml	2044	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK_MICRO.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACK_MICRO.yaml	2044	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK_MICRO.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACK_MICRO.yaml	2044	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK_MICRO.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACK_MICRO.yaml	2044	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACK_MICRO.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACK_MICRO.yaml	2044	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_ORIENTATION.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACTION_ORIENTATION.yaml	2172	2025-11-22	KEEP_BEST	best of 9 copies
ATO_ACTION_ORIENTATION.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACTION_ORIENTATION.yaml	2172	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_ORIENTATION.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (2).json/Markers_canonical.json/ATO_ACTION_ORIENTATION.yaml	2172	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_ORIENTATION.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (3).json/Markers_canonical.json/ATO_ACTION_ORIENTATION.yaml	2172	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_ORIENTATION.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACTION_ORIENTATION.yaml	2172	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_ORIENTATION.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACTION_ORIENTATION.yaml	2172	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_ORIENTATION.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACTION_ORIENTATION.yaml	2172	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_ORIENTATION.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACTION_ORIENTATION.yaml	2172	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_ORIENTATION.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/markers/ATO_ACTION_ORIENTATION.yaml	2172	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_VERBS.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACTION_VERBS.yaml	626	2025-11-22	KEEP_BEST	best of 11 copies
ATO_ACTION_VERBS.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ACTION_VERBS.yaml	626	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_VERBS.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (2).json/Markers_canonical.json/ATO_ACTION_VERBS.yaml	626	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_VERBS.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (3).json/Markers_canonical.json/ATO_ACTION_VERBS.yaml	626	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_VERBS.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ACTION_VERBS.yaml	626	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ACTION_VERBS.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACTION_VERBS.yaml	626	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
