MARKER	LAYER	RATING	REASON	SIZE_B	SOURCE_PATH
ATO_ANGER.yaml	ATO	1	20 pos, 20 neg, desc	1368	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ANGER.yaml
ATO_ANGER_RAGE.yaml	ATO	1	50 pos, desc	3094	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/ALL_Marker_5.1/EMOTIONAL_SEMANTICS_BASIC/ATO_atomic/ATO_ANGER_RAGE.yaml
ATO_ANTICIPATION_EXPRESSION.yaml	ATO	1	65 pos, desc	4747	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ANTICIPATION_EXPRESSION.yaml
ATO_APOLOGY.yaml	ATO	1	20 pos, 20 neg, desc	1640	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_APOLOGY.yaml
ATO_APOLOGY_DE.yaml	ATO	1	7 pos	683	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_APOLOGY_DE.yaml
ATO_ASSUMPTION.yaml	ATO	1	5 pos	674	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_ASSUMPTION.yaml
ATO_ATTENTION_TO_FEELINGS.yaml	ATO	1	33 pos	1845	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_ATTENTION_TO_FEELINGS.yaml
ATO_ATTRIBUTION_ERROR.yaml	ATO	1	10 pos	1657	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ATTRIBUTION_ERROR.yaml
ATO_AUTISM_LITERAL_LANGUAGE.yaml	ATO	1	5 pos, 5 neg, desc	874	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_THERA/ATO/ATO_AUTISM_LITERAL_LANGUAGE.yaml
ATO_AVOIDANCE_PHRASE.yaml	ATO	1	13 pos	1778	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_AVOIDANCE_PHRASE.yaml
ATO_BETWEENNESS_TERM 2.yaml	ATO	1	10 pos	823	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_BETWEENNESS_TERM 2.yaml
ATO_BETWEENNESS_TERM.yaml	ATO	1	10 pos	823	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_BETWEENNESS_TERM.yaml
ATO_BIPOLAR_MANIC_SPEECH.yaml	ATO	1	20 pos, 20 neg, desc	1937	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_THERA/ATO/ATO_BIPOLAR_MANIC_SPEECH.yaml
ATO_BLAME_SHIFT 2.yaml	ATO	1	5 pos, desc	561	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_BLAME_SHIFT 2.yaml
ATO_BLAME_SHIFT_MARKER.yaml	ATO	1	35 pos, 20 neg	2262	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_BLAME_SHIFT_MARKER.yaml
ATO_BOUNDARY_NEGOTIATION.yaml	ATO	1	7 pos	912	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_BOUNDARY_NEGOTIATION.yaml
ATO_BOUNDARY_SET.yaml	ATO	1	7 pos	830	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_BOUNDARY_SET.yaml
ATO_BOUNDARY_SETTING 2.yaml	ATO	1	5 pos, desc	559	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_BOUNDARY_SETTING 2.yaml
ATO_BOUNDARY_SETTING.yaml	ATO	1	14 pos, desc	1480	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_BOUNDARY_SETTING.yaml
ATO_BOUNDARY_STRICT.yaml	ATO	1	30 pos, 30 neg, desc	2590	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_BOUNDARY_STRICT.yaml
ATO_BPD_FEAR_OF_ABANDONMENT.yaml	ATO	1	23 pos, 20 neg, desc	1988	ATO_BPD_FEAR_OF_ABANDONMENT.yaml
ATO_BPD_INTENSE_EMOTIONS.yaml	ATO	1	20 pos, 20 neg, desc	1892	ATO_BPD_INTENSE_EMOTIONS.yaml
ATO_BREATHINESS 2.yaml	ATO	1	5 pos, desc	554	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_BREATHINESS 2.yaml
ATO_BREATHINESS.yaml	ATO	1	13 pos, desc	1545	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_BREATHINESS.yaml
ATO_BURDEN_SHIFT.yaml	ATO	1	6 pos	542	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_BURDEN_SHIFT.yaml
ATO_CALM_LIFE_DESIRE.yaml	ATO	1	10 pos	903	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_CALM_LIFE_DESIRE.yaml
ATO_CARE_CHECKIN.yaml	ATO	1	14 pos	1541	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_CARE_CHECKIN.yaml
ATO_CARE_PING.yaml	ATO	1	14 pos, composed	1961	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_CARE_PING.yaml
ATO_CARE_PING_corrected.yaml	ATO	1	5 pos, composed	787	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_CARE_PING_corrected.yaml
ATO_CERTAINTY_PHRASE 2.yaml	ATO	1	10 pos, desc	947	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_CERTAINTY_PHRASE 2.yaml
ATO_CERTAINTY_PHRASE.yaml	ATO	1	10 pos, desc	947	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_CERTAINTY_PHRASE.yaml
ATO_CERTAINTY_WITHOUT_EVIDENCE.yaml	ATO	1	14 pos	1778	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_CERTAINTY_WITHOUT_EVIDENCE.yaml
ATO_COLD_LABEL.yaml	ATO	1	10 pos	755	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_COLD_LABEL.yaml
ATO_COMMITMENT_PHRASE.yaml	ATO	1	5 pos	605	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/ATO_COMMITMENT_PHRASE.yaml
ATO_COMMITMENT_PHRASES.yaml	ATO	1	14 pos	1546	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_COMMITMENT_PHRASES.yaml
ATO_COMPARISON_MANIPULATION 2.yaml	ATO	1	5 pos, desc	603	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_COMPARISON_MANIPULATION 2.yaml
ATO_COMPARISON_MANIPULATION.yaml	ATO	1	14 pos, desc	1798	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_COMPARISON_MANIPULATION.yaml
ATO_COMPASSION.yaml	ATO	1	7 pos	616	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_COMPASSION.yaml
ATO_COMPETITIVE_FRAME.yaml	ATO	1	10 pos	779	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_COMPETITIVE_FRAME.yaml
ATO_COMPROMISE_OFFER.yaml	ATO	1	20 pos, 20 neg, desc	1680	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_COMPROMISE_OFFER.yaml
ATO_CONDITION_CUE.yaml	ATO	1	30 pos	1811	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_CONDITION_CUE.yaml
ATO_CONTRASTIVE_CONNECTOR_ABER.yaml	ATO	1	10 pos	901	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_CONTRASTIVE_CONNECTOR_ABER.yaml
ATO_CONTRAST_CONJUNCTION.yaml	ATO	1	15 pos, desc	1434	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_CONTRAST_CONJUNCTION.yaml
ATO_CONTROL 2.yaml	ATO	1	5 pos, desc	571	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_CONTROL 2.yaml
ATO_CONTROL.yaml	ATO	1	5 pos, desc	571	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_CONTROL.yaml
ATO_CONTROL_PHRASES 2.yaml	ATO	1	5 pos, desc	522	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_CONTROL_PHRASES 2.yaml
ATO_CONTROL_PHRASES.yaml	ATO	1	5 pos, desc	522	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_CONTROL_PHRASES.yaml
ATO_CORPORATE_DOUBLESPEAK.yaml	ATO	1	21 pos, desc	1601	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_CORPORATE_DOUBLESPEAK.yaml
ATO_COURTESY_FORMAL.yaml	ATO	1	24 pos, 30 neg, desc	2047	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_COURTESY_FORMAL.yaml
ATO_CREAKY_VOICE 2.yaml	ATO	1	5 pos, desc	554	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_CREAKY_VOICE 2.yaml
ATO_CREAKY_VOICE.yaml	ATO	1	5 pos, desc	554	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_CREAKY_VOICE.yaml
ATO_CRITICISM_ATTACK_MARKER.yaml	ATO	1	20 pos, 20 neg, desc	1457	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_CRITICISM_ATTACK_MARKER.yaml
ATO_CULTURE_TOKEN.yaml	ATO	1	8 pos, desc	1029	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_CULTURE_TOKEN.yaml
ATO_CUSTOMER_COUNT.yaml	ATO	1	5 pos	544	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/ATO_CUSTOMER_COUNT.yaml
ATO_DAILY_ROUTINE_REPORT.yaml	ATO	1	5 pos, desc, composed	655	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DAILY_ROUTINE_REPORT.yaml
ATO_DECISION_ANNOUNCEMENT.yaml	ATO	1	10 pos	732	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DECISION_ANNOUNCEMENT.yaml
ATO_DECISION_CHOOSE 2.yaml	ATO	1	10 pos	699	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DECISION_CHOOSE 2.yaml
ATO_DECISION_CHOOSE.yaml	ATO	1	10 pos	699	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DECISION_CHOOSE.yaml
ATO_DECISION_STAY 2.yaml	ATO	1	10 pos	685	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DECISION_STAY 2.yaml
ATO_DECISION_STAY.yaml	ATO	1	10 pos	685	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DECISION_STAY.yaml
ATO_DEEPER_QUESTIONING.yaml	ATO	1	6 pos	607	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DEEPER_QUESTIONING.yaml
ATO_DEESCALATION_OFFER.yaml	ATO	1	7 pos	878	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DEESCALATION_OFFER.yaml
ATO_DEESCALATION_PHRASE.yaml	ATO	1	35 pos	1741	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_DEESCALATION_PHRASE.yaml
ATO_DEFENSIVENESS 2.yaml	ATO	1	5 pos, desc	545	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_DEFENSIVENESS 2.yaml
ATO_DEFENSIVENESS.yaml	ATO	1	20 pos, 20 neg, desc	1508	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DEFENSIVENESS.yaml
ATO_DEFENSIVE_JUSTIFICATION_MARKER.yaml	ATO	1	14 pos, desc	1670	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DEFENSIVE_JUSTIFICATION_MARKER.yaml
ATO_DEFENSIVE_REBUTTAL.yaml	ATO	1	7 pos	811	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DEFENSIVE_REBUTTAL.yaml
ATO_DEFINITION_NEGATION 2.yaml	ATO	1	10 pos	776	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DEFINITION_NEGATION 2.yaml
ATO_DEFINITION_NEGATION.yaml	ATO	1	10 pos	776	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DEFINITION_NEGATION.yaml
ATO_DELAY_BALANCED.yaml	ATO	1	20 pos, 20 neg, desc	2041	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DELAY_BALANCED.yaml
ATO_DEMENTIA_WORD_FINDING.yaml	ATO	1	5 pos, 5 neg, desc	924	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_THERA/ATO/ATO_DEMENTIA_WORD_FINDING.yaml
ATO_DENIAL.yaml	ATO	1	8 pos, desc	918	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DENIAL.yaml
ATO_DEPRESSION_ABSOLUTIST_LANGUAGE.yaml	ATO	1	20 pos, 20 neg, desc	1712	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_THERA/ATO/ATO_DEPRESSION_ABSOLUTIST_LANGUAGE.yaml
ATO_DEPRESSION_NEGATIVE_EMOTIONS.yaml	ATO	1	20 pos, 20 neg, desc	1788	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_THERA/ATO/ATO_DEPRESSION_NEGATIVE_EMOTIONS.yaml
ATO_DEPRESSION_PAST_FOCUS.yaml	ATO	1	20 pos, 20 neg, desc	1811	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_THERA/ATO/ATO_DEPRESSION_PAST_FOCUS.yaml
ATO_DEPRESSION_SELF_FOCUS.yaml	ATO	1	20 pos, 20 neg, desc	1679	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_THERA/ATO/ATO_DEPRESSION_SELF_FOCUS.yaml
ATO_DEPRESSION_SUICIDE_RISK.yaml	ATO	1	20 pos, 20 neg, desc	1902	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_THERA/ATO/ATO_DEPRESSION_SUICIDE_RISK.yaml
ATO_DEPRESSIVE_NEGATIVE_TALK.yaml	ATO	1	5 pos, 5 neg, desc	864	ATO_DEPRESSIVE_NEGATIVE_TALK.yaml
ATO_DEVALUING_STATEMENT_MARKER.yaml	ATO	1	20 pos, desc	2014	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DEVALUING_STATEMENT_MARKER.yaml
ATO_DIRECTIVE_BEDTIME 2.yaml	ATO	1	5 pos, desc	1200	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_DIRECTIVE_BEDTIME 2.yaml
ATO_DIRECTIVE_BEDTIME.yaml	ATO	1	5 pos, desc	1200	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DIRECTIVE_BEDTIME.yaml
ATO_DIRECTIVE_CHORES 2.yaml	ATO	1	5 pos, desc	1185	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_DIRECTIVE_CHORES 2.yaml
ATO_DIRECTIVE_CHORES.yaml	ATO	1	5 pos, desc	1185	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DIRECTIVE_CHORES.yaml
ATO_DIRECTIVE_HOMEWORK 2.yaml	ATO	1	5 pos, desc	1247	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_DIRECTIVE_HOMEWORK 2.yaml
ATO_DIRECTIVE_HOMEWORK.yaml	ATO	1	5 pos, desc	1247	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DIRECTIVE_HOMEWORK.yaml
ATO_DIRECT_ACCUSATION.yaml	ATO	1	10 pos, desc	1153	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DIRECT_ACCUSATION.yaml
ATO_DIRECT_BONDING_MESSAGE.yaml	ATO	1	15 pos	965	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DIRECT_BONDING_MESSAGE.yaml
ATO_DISCLAIMER_NOT_BURDEN.yaml	ATO	1	10 pos	1030	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DISCLAIMER_NOT_BURDEN.yaml
ATO_DISENGAGEMENT_LANGUAGE.yaml	ATO	1	20 pos, 20 neg	2023	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DISENGAGEMENT_LANGUAGE.yaml
ATO_DISGUST_AVERSION.yaml	ATO	1	50 pos, desc	3037	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/ALL_Marker_5.1/EMOTIONAL_SEMANTICS_BASIC/ATO_atomic/ATO_DISGUST_AVERSION.yaml
ATO_DISPLAY_RULE_CUE.yaml	ATO	1	8 pos, desc	1073	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DISPLAY_RULE_CUE.yaml
